,Store,Date,Dept,Weekly_Sales,Fuel_Price,IsHoliday,CPI,Unemployment,month-year
0,1,2010-02-05,1.0,24924.5,2.572,0,211.0963582,8.106,2010-02-01
29777,4,2010-02-26,67.0,9830.69,2.59,0,126.5522857,8.623,2010-02-01
29776,4,2010-02-26,59.0,1505.87,2.59,0,126.5522857,8.623,2010-02-01
29775,4,2010-02-26,42.0,9571.95,2.59,0,126.5522857,8.623,2010-02-01
29774,4,2010-02-26,83.0,10333.04,2.59,0,126.5522857,8.623,2010-02-01
29773,4,2010-02-26,49.0,8805.42,2.59,0,126.5522857,8.623,2010-02-01
29772,4,2010-02-26,29.0,8187.41,2.59,0,126.5522857,8.623,2010-02-01
29771,4,2010-02-26,20.0,8345.01,2.59,0,126.5522857,8.623,2010-02-01
29770,4,2010-02-26,3.0,14490.06,2.59,0,126.5522857,8.623,2010-02-01
29769,4,2010-02-26,19.0,3290.03,2.59,0,126.5522857,8.623,2010-02-01
29768,4,2010-02-26,98.0,12180.06,2.59,0,126.5522857,8.623,2010-02-01
29767,4,2010-02-26,26.0,20071.21,2.59,0,126.5522857,8.623,2010-02-01
29766,4,2010-02-26,23.0,37208.06,2.59,0,126.5522857,8.623,2010-02-01
29765,4,2010-02-26,17.0,19877.22,2.59,0,126.5522857,8.623,2010-02-01
29764,4,2010-02-26,71.0,6783.0,2.59,0,126.5522857,8.623,2010-02-01
29763,4,2010-02-26,90.0,82257.81,2.59,0,126.5522857,8.623,2010-02-01
29778,4,2010-02-26,30.0,7669.5,2.59,0,126.5522857,8.623,2010-02-01
29762,4,2010-02-26,55.0,23270.93,2.59,0,126.5522857,8.623,2010-02-01
29779,4,2010-02-26,32.0,13671.99,2.59,0,126.5522857,8.623,2010-02-01
29781,4,2010-02-26,22.0,19046.6,2.59,0,126.5522857,8.623,2010-02-01
29796,4,2010-02-26,5.0,37590.77,2.59,0,126.5522857,8.623,2010-02-01
29795,4,2010-02-26,93.0,52109.53,2.59,0,126.5522857,8.623,2010-02-01
